1,5429,5581,,person.couch.tie.bottle.vase,couch.tie.bottle.vase
1035,60737,60775,성동일,person.cell.phone,cell.phone
1036,60776,60805,,person,
1037,60806,60823,김지석,person.surfboard,surfboard
1038,60824,60852,김지석,person.stop.sign,stop.sign
1039,60853,60887,하정우,person,
1040,60888,60947,,tv.person.tennis.racket.skis.baseball.glove,tv.tennis.racket.skis.baseball.glove
1041,60948,60985,성동일,person.cell.phone,cell.phone
1042,60986,61030,하정우.김동욱.김지석,person.chair,chair
1043,61031,61083,,tv.person.chair,tv.chair
1044,61084,61130,성동일,person.frisbee.sports.ball,frisbee.sports.ball
1045,61131,61155,김지석,person,
1046,61156,61180,하정우,person,
1047,61181,61200,,person,
1048,61201,61215,김지석,person,
1049,61216,61242,,person,
1050,61243,61267,하정우.김동욱.김지석,person,
1051,61268,61298,김동욱,person.snowboard,snowboard
1052,61299,61328,,person,
1053,61329,61391,성동일,person,
1054,61392,61480,,person,
1055,61481,61575,,person,
1056,61576,61615,성동일.김지석,person,
1057,61616,61651,,person.skis,skis
1058,61652,61681,,person.baseball.bat,baseball.bat
1059,61682,61705,,person,
1060,61706,61763,,person,
1061,61764,61780,성동일,person.bench,bench
1062,61781,61798,,person.bench.skateboard.potted.plant,bench.skateboard.potted.plant
1063,61799,61815,,sports.ball.bench,sports.ball.bench
1064,61816,61835,성동일,person.potted.plant,potted.plant
1065,61836,61868,,person.bench,bench
1066,61869,61922,,person.sports.ball.dog,sports.ball.dog
1067,61923,61973,김동욱.김지석,person,
1068,61974,61990,,person.dog,dog
1069,61991,62065,,person.chair.tv,chair.tv
1070,62066,62100,김동욱.김지석,person,
1071,62101,62153,,person.car,car
1072,62154,62167,하정우,person.cup,cup
1073,62168,62180,김지석,person.skateboard.potted.plant,skateboard.potted.plant
1074,62181,62192,김동욱,person,
1075,62193,62216,김동욱.김지석,person.car,car
1076,62217,62233,김동욱.김지석,person,
1077,62234,62257,김동욱.김지석,person,
1078,62258,62278,김동욱.김지석,person,
1079,62279,62337,김동욱.김지석,person,
1080,62338,62413,,person,
1081,62414,62457,,person.airplane,airplane
1082,62458,62495,하정우.김동욱.김지석,person.chair,chair
1083,62496,62527,성동일,person.chair,chair
1084,62528,62555,김동욱,person,
1085,62556,62591,성동일,person,
1086,62592,62640,,person.surfboard,surfboard
1087,62641,62678,김동욱,person,
1088,62679,62725,성동일,person.car,car
1089,62726,62751,김동욱,person,
1090,62752,62782,,person.truck,truck
1091,62783,62820,,person,
1092,62821,62840,,clock,clock
1093,62841,62867,성동일,person.sports.ball,sports.ball
1094,62868,62908,하정우,person.bed,bed
1095,62909,62971,김동욱,person.surfboard.sports.ball.car.bus,surfboard.sports.ball.car.bus
1096,62972,63053,,person.baseball.bat.boat,baseball.bat.boat
1097,63054,63133,하정우,person.skis.boat,skis.boat
1098,63134,63158,,person,
1099,63159,63233,하정우,person,
1100,63234,63257,,person.boat,boat
1101,63258,63273,,,
1102,63274,63285,,,
1103,63286,63305,,person.baseball.glove,baseball.glove
1104,63306,63370,,person.train.skis,train.skis
1105,63371,63382,,person.skateboard,skateboard
1106,63383,63417,,person.skis,skis
1107,63418,63460,,person.skateboard.skis,skateboard.skis
1108,63461,63478,,person.skateboard,skateboard
1109,63479,63510,,person,
1110,63511,63527,,person.baseball.glove,baseball.glove
1111,63528,63540,,person.skis,skis
1112,63541,63557,,person.tennis.racket,tennis.racket
1113,63558,63610,,person.surfboard.bird.skis,surfboard.bird.skis
1114,63611,63655,성동일,person,
1115,63656,63712,,,
1116,63713,63763,,car,car
1117,63764,63796,,person.car,car
1118,63797,63885,,airplane.bird.kite,airplane.bird.kite
1119,63886,63952,,person.car.cell.phone,car.cell.phone
1120,63953,64037,,person.chair.umbrella,chair.umbrella
1121,64038,64083,,cup.person.bird,cup.bird
1122,64084,64126,,person.chair,chair
1123,64127,64313,,person.boat,boat
1124,64314,64388,,person.bench.vase.sports.ball,bench.vase.sports.ball
1125,64389,64498,,person.boat.car,boat.car
1126,64499,64550,,person,
1127,64551,64615,,person.boat.bowl,boat.bowl
1128,64616,64668,,person.train,train
1129,64669,64688,,,
1130,64689,64762,,person,
1131,64763,64892,,person.bird.vase,bird.vase
1132,64893,64935,,vase,vase
1133,64936,65092,,person,
1134,65093,65137,,person.boat,boat
1135,65138,65186,,person,
1136,65187,65215,,person.bench,bench
1137,65216,65246,,person,
1138,65247,65267,,person.bench,bench
1139,65268,65302,,airplane.train,airplane.train
1140,65303,65316,,person,
1141,65317,65335,,person,
1142,65336,65350,,boat.bench.person,boat.bench
1143,65351,65362,,person,
1144,65363,65377,,person.skis,skis
1145,65378,65400,,bird.boat,bird.boat
1146,65401,65411,,person,
1147,65412,65447,,person.airplane.skis,airplane.skis
1148,65448,65478,,person.orange,orange
1149,65479,65525,,boat.person,boat
1150,65526,65611,,person,
1151,65612,65812,,apple,apple
1152,65813,65947,,person.car.bird.cell.phone.boat,car.bird.cell.phone.boat
1153,65948,66056,,person,
1154,66057,66147,하정우.성동일.김지석,person.bicycle.handbag,bicycle.handbag
1155,66148,66271,,person.bicycle.bus.truck,bicycle.bus.truck
1156,66272,66332,,person,
1157,66333,66378,,person,
1158,66379,66446,하정우.김지석,person,
1159,66447,66475,하정우.김지석,person,
1160,66476,66513,하정우,person.bicycle,bicycle
1161,66514,66612,김동욱.김지석,person,
1162,66613,66653,김지석,person,
1163,66654,66707,김동욱.김지석,person,
1164,66708,66768,김동욱.김지석,person,
1165,66769,66841,김동욱,person.bicycle.handbag,bicycle.handbag
1166,66842,66976,,person,
1167,66977,67020,김동욱,person,
1168,67021,67061,김지석,person,
1169,67062,67096,김동욱,person,
1170,67097,67136,김지석,person.banana,banana
1171,67137,67162,김동욱,person,
1172,67163,67195,,person,
1173,67196,67257,김동욱.김지석,person,
1174,67258,67306,김동욱,person,
1175,67307,67368,,person.bicycle,bicycle
1176,67369,67436,김동욱.김지석,person,
1177,67437,67541,김동욱,person,
1178,67542,67622,김동욱,person,
1179,67623,67723,김동욱,person,
1180,67724,67790,김동욱,person,
1181,67791,67840,김동욱,person.tv,tv
1182,67841,67920,김동욱,person.car,car
1183,67921,67990,,,
1184,67991,68010,,person,
1185,68011,68031,,person,
1186,68032,68050,,person.fork,fork
1187,68051,68071,,person.banana.motorcycle,banana.motorcycle
1188,68072,68126,하정우,person.car,car
1189,68127,68155,하정우,person,
1190,68156,68206,하정우,person,
1191,68207,68235,,,
1192,68236,68295,,person.bicycle.sports.ball,bicycle.sports.ball
1193,68296,68342,하정우,person,
1194,68343,68407,김동욱.김지석,person,
1195,68408,68487,성동일.김동욱,person,
1196,68488,68538,성동일.김동욱.김지석,person,
1197,68539,68602,하정우,person.motorcycle.clock,motorcycle.clock
1198,68603,68756,,person.boat,boat
1199,68757,68871,,person.bicycle.sports.ball.remote,bicycle.sports.ball.remote
1200,68872,68977,성동일,person.fork,fork
1201,68978,69095,,person.boat.airplane,boat.airplane
1202,69096,69135,,person.bench,bench
1203,69136,69166,하정우,person,
1204,69167,69198,,person,
1205,69199,69235,김지석,person,
1206,69236,69278,,person.boat.bowl.dining.table.sink,boat.bowl.dining.table.sink
1207,69279,69348,,person.car.boat.bus.bench.truck,car.boat.bus.bench.truck
1208,69349,69428,,person.suitcase,suitcase
1209,69429,69485,,airplane.train,airplane.train
1210,69486,69506,,person,
1211,69507,69543,김동욱,person.sink,sink
1212,69544,69606,김동욱,person.umbrella,umbrella
1213,69607,69642,,person,
1214,69643,69682,,boat.person,boat
1215,69683,69723,,,
1216,69724,69766,,boat,boat
1217,69767,69862,,person.boat.sink.book,boat.sink.book
1218,69863,69937,하정우,person,
1219,69938,69995,성동일,person.potted.plant.bicycle,potted.plant.bicycle
1220,69996,70021,하정우,person,
1221,70022,70078,,person.train,train
1222,70079,70112,,boat,boat
1223,70113,70146,,boat.person,boat
1224,70147,70173,,fire.hydrant,fire.hydrant
1225,70174,70195,,person.laptop,laptop
1226,70196,70208,,person.skis,skis
1227,70209,70226,,boat,boat
1228,70227,70246,,person.skis.boat,skis.boat
1229,70247,70263,,airplane,airplane
1230,70264,70340,,person,
1231,70341,70377,성동일,person,
1232,70378,70452,하정우,person,
1233,70453,70478,김동욱,person,
1234,70479,70510,김지석,person,
1235,70511,70553,하정우,person.boat,boat
1236,70554,70570,,person,
1237,70571,70586,김지석,person,
1238,70587,70600,,person,
1239,70601,70615,,boat,boat
1240,70616,70631,,person.baseball.glove,baseball.glove
1241,70632,70643,,bowl,bowl
1242,70644,70673,,person,
1243,70674,70690,,sports.ball.person.apple,sports.ball.apple
1244,70691,70703,,person.skis,skis
1245,70704,70726,,person.skis.sports.ball,skis.sports.ball
1246,70727,70740,,,
1247,70741,70753,,person,
1248,70754,70770,김지석,person,
1249,70771,70791,,person,
1250,70792,70811,,bear,bear
1251,70812,70836,,airplane,airplane
1252,70837,70940,,umbrella.boat.truck.car.person,umbrella.boat.truck.car
1253,70941,70988,성동일.김동욱.김지석,person.cell.phone,cell.phone
1254,70989,71062,하정우.성동일.김지석,person,
1255,71063,71135,성동일.김지석,person.dog.sports.ball,dog.sports.ball
1256,71136,71160,,person.bicycle,bicycle
1257,71161,71215,하정우.성동일.김지석,person,
1258,71216,71238,성동일.김동욱,person,
1259,71239,71251,,person.bicycle,bicycle
1260,71252,71295,김지석,person,
1261,71296,71347,성동일.김동욱.김지석,person,
1262,71348,71392,김지석,person.baseball.glove,baseball.glove
1263,71393,71432,성동일.김지석,person,
1264,71433,71470,김지석,person,
1265,71471,71528,성동일,person,
1266,71529,71550,성동일.김지석,person.handbag,handbag
1267,71551,71618,김지석,person,
1268,71619,71645,하정우.성동일.김동욱.김지석,person,
1269,71646,71683,,person,
1270,71684,71721,하정우.성동일.김동욱.김지석,person,
1271,71722,71767,,person.boat,boat
1272,71768,71793,김지석,person.car,car
1273,71794,71845,,person,
1274,71846,71872,성동일.김동욱,person,
1275,71873,71918,하정우,person,
1276,71919,71965,,person,
1277,71966,71990,,person,
1278,71991,72023,,person.boat,boat
1279,72024,72045,김지석,person.sports.ball,sports.ball
1280,72046,72125,,person.bench,bench
1281,72126,72157,,person.skis,skis
1282,72158,72171,,bench,bench
1283,72172,72185,,person,
1284,72186,72203,,person.bench.giraffe,bench.giraffe
1285,72204,72228,김지석,person,
1286,72229,72243,,,
1287,72244,72262,,person,
1288,72263,72276,성동일.김지석,person,
1289,72277,72301,하정우,person,
1290,72302,72313,,person,
1291,72314,72337,,person,
1292,72338,72353,하정우,person,
1293,72354,72365,,person.skis,skis
1294,72366,72390,,person,
1295,72391,72412,,person.skis,skis
1296,72413,72430,,,
1297,72431,72451,,person.surfboard,surfboard
1298,72452,72472,성동일.김지석,person,
1299,72473,72502,,person.airplane,airplane
1300,72503,72526,하정우.성동일.김동욱.김지석,person,
1301,72527,72591,김지석,person.apple,apple
1302,72592,72608,김지석,person,
1303,72609,72631,,,
1304,72632,72658,,person,
1305,72659,72708,김지석,person,
1306,72709,72726,,person,
1307,72727,72746,김지석,person,
1308,72747,72768,하정우.성동일.김동욱,person,
1309,72769,72820,김지석,person.donut.orange,donut.orange
1310,72821,72872,하정우.성동일.김동욱,person.sports.ball,sports.ball
1311,72873,72931,하정우.성동일.김동욱,person,
1312,72932,72982,,person.bowl,bowl
1313,72983,73018,,person,
1314,73019,73076,하정우,person,
1315,73077,73155,,person.tennis.racket.bowl.handbag,tennis.racket.bowl.handbag
1316,73156,73308,,handbag.person.tie,handbag.tie
1317,73309,73462,하정우,person,
1318,73463,73532,,bus.car.truck,bus.car.truck
1319,73533,73593,김지석,person.surfboard,surfboard
1320,73594,73741,김지석,person.boat.bicycle,boat.bicycle
1321,73742,73805,하정우,person,
1322,73806,73842,김동욱,person,
1323,73843,73882,,person.couch,couch
1324,73883,73926,성동일,person,
1325,73927,73980,,person.couch,couch
1326,73981,74017,성동일,person.sports.ball,sports.ball
1327,74018,74052,,person.couch.cell.phone,couch.cell.phone
1328,74053,74108,김동욱,person.cell.phone,cell.phone
1329,74109,74150,,person.couch.cup.cell.phone.chair.book,couch.cup.cell.phone.chair.book
1330,74151,74178,성동일.김동욱,person.chair.sports.ball,chair.sports.ball
1331,74179,74243,,person.chair,chair
1332,74244,74300,하정우,person.chair,chair
1333,74301,74347,하정우.성동일.김동욱,person.boat,boat
1334,74348,74410,,person,
1335,74411,74466,김동욱,person,
1336,74467,74495,하정우,person.chair,chair
1337,74496,74576,하정우.성동일.김동욱,person.boat,boat
1338,74577,74625,,person,
1339,74626,74667,하정우.성동일.김동욱,person.chair,chair
1340,74668,74711,김동욱,person,
1341,74712,74783,,person.couch.cup,couch.cup
1342,74784,74847,하정우.성동일.김동욱,person,
1343,74848,74925,,person.chair,chair
1344,74926,74985,김동욱,person,
1345,74986,75043,하정우,person.hair.drier.book,hair.drier.book
1346,75044,75088,김동욱,person,
1347,75089,75211,하정우.성동일.김동욱,person.cup.boat.cell.phone,cup.boat.cell.phone
1348,75212,75247,김동욱,person,
1349,75248,75277,,person,
1350,75278,75318,김동욱,person,
1351,75319,75370,하정우,person.chair,chair
1352,75371,75416,김동욱,person,
1353,75417,75463,하정우,person.chair,chair
1354,75464,75538,김동욱,person,
1355,75539,75583,하정우,person.chair,chair
1356,75584,75622,김동욱,person,
1357,75623,75675,하정우,person,
1358,75676,75716,김동욱,person,
1359,75717,75778,하정우,person,
1360,75779,75806,하정우.성동일.김동욱,person.chair.boat.car,chair.boat.car
1361,75807,75837,성동일,person,
1362,75838,75873,성동일,person.boat.teddy.bear.car,boat.teddy.bear.car
1363,75874,75947,성동일,person.book,book
1364,75948,75970,,,
1365,75971,75996,성동일,person.boat,boat
1366,75997,76012,성동일,person,
1367,76013,76030,,,
1368,76031,76042,김지석,person,
1369,76043,76053,,,
1370,76054,76066,김지석,person,
1371,76067,76080,,person.truck,truck
1372,76081,76110,,bed.remote,bed.remote
1373,76111,76128,김지석,person,
1374,76129,76145,,person.bus.motorcycle,bus.motorcycle
1375,76146,76181,김지석,person,
1376,76182,76198,김지석,person,
1377,76199,76213,,,
1378,76214,76230,,person.bicycle.vase,bicycle.vase
1379,76231,76256,김지석,person,
1380,76257,76278,,person,
1381,76279,76333,,person,
1382,76334,76371,김지석,person.bird,bird
1383,76372,76535,김지석,person,
1384,76536,76637,,bus.car.person,bus.car
1385,76638,76701,김지석,person.car,car
1386,76702,76751,,person.bus,bus
1387,76752,76788,김지석,person,
1388,76789,76840,,person.car.elephant,car.elephant
1389,76841,76933,,person.car,car
1390,76934,77260,하정우.김동욱,person.chair.tie.cup.couch,chair.tie.cup.couch
1391,77261,77313,하정우,person.couch,couch
1392,77314,77435,김동욱,person.bed,bed
1393,77436,77482,하정우,person,
1394,77483,77561,김동욱,person.bed.tie,bed.tie
1395,77562,77612,하정우,person.couch,couch
1396,77613,77715,하정우,person.chair.couch.tie,chair.couch.tie
1397,77716,77822,,person.train.bus.car,train.bus.car
1398,77823,77921,,person.cell.phone.book.handbag,cell.phone.book.handbag
1399,77922,77970,,person,
1400,77971,78005,김동욱,person,
1401,78006,78055,,person,
1402,78056,78121,김동욱,person,
1403,78122,78206,,person,
1404,78207,78240,김동욱,person,
1405,78241,78283,,person,
1406,78284,78310,김동욱,person,
1407,78311,78345,하정우,person.tie,tie
1408,78346,78371,김동욱,person,
1409,78372,78425,김동욱,person,
1410,78426,78457,,person,
1411,78458,78496,김동욱,person,
1412,78497,78517,,person,
1413,78518,78567,김동욱,handbag.person.chair,handbag.chair
1414,78568,78621,,person,
1415,78622,78673,김동욱,person.bottle,bottle
1416,78674,78736,하정우,person,
1417,78737,78762,,person,
1418,78763,78786,,person,
1419,78787,78816,하정우,car.laptop.person.potted.plant.refrigerator,car.laptop.potted.plant.refrigerator
1420,78817,78856,,person.tv,tv
1421,78857,78911,하정우,car.laptop.person.potted.plant.chair,car.laptop.potted.plant.chair
1422,78912,78981,하정우.김동욱,person,
1423,78982,79033,,person,
1424,79034,79083,,person,
1425,79084,79120,김동욱,person,
1426,79121,79236,,person,
1427,79237,79297,,tv,tv
1428,79298,79403,하정우.김동욱,tv.person.potted.plant.clock.vase.chair.microwave,tv.potted.plant.clock.vase.chair.microwave
1429,79404,79460,하정우,person,
1430,79461,79505,,person,
1431,79506,79537,하정우,person,
1432,79538,79592,,person,
1433,79593,79626,하정우.김동욱,person.potted.plant,potted.plant
1434,79627,79651,,person.car,car
1435,79652,79681,김동욱,person,
1436,79682,79716,,person,
1437,79717,79738,하정우.김동욱,person.potted.plant,potted.plant
1438,79739,79752,김동욱,person,
1439,79753,79792,,person,
1440,79793,79840,김동욱,person,
1441,79841,79981,,person.truck,truck
1442,79982,80017,김동욱,person,
1443,80018,80100,,person.car,car
1444,80101,80128,김동욱,person,
1445,80129,80236,,person.car.remote,car.remote
1446,80237,80273,김동욱,person,
1447,80274,80356,,person,
1448,80357,80405,하정우,person,
1449,80406,80431,,person,
1450,80432,80462,하정우,person,
1451,80463,80508,,person,
1452,80509,80592,하정우,person,
1453,80593,80625,,person,
1454,80626,80668,하정우.김동욱,person,
1455,80669,80697,,person,
1456,80698,80725,하정우,person,
1457,80726,80745,,person.cell.phone,cell.phone
1458,80746,80772,하정우.김동욱,person.potted.plant.dining.table,potted.plant.dining.table
1459,80773,80806,하정우.김동욱,person,
1460,80807,80855,,person,
1461,80856,80888,하정우.김동욱,person.chair.dining.table.surfboard,chair.dining.table.surfboard
1462,80889,80937,,person.car,car
1463,80938,80973,김동욱,person,
1464,80974,81023,,person.car,car
1465,81024,81053,김동욱,person.tie,tie
1466,81054,81151,,person.car,car
1467,81152,81181,,person.cell.phone,cell.phone
1468,81182,81225,,person.car,car
1469,81226,81253,김동욱,person,
1470,81254,81291,,person,
1471,81292,81316,하정우,person,
1472,81317,81336,,person,
1473,81337,81353,,person.cell.phone,cell.phone
1474,81354,81382,하정우.김동욱,person,
1475,81383,81421,하정우.김동욱,tv.person.potted.plant.chair.mouse,tv.potted.plant.chair.mouse
1476,81422,81447,,person.cell.phone,cell.phone
1477,81448,81480,하정우,person,
1478,81481,81548,,person.chair.potted.plant.sink.vase.refrigerator,chair.potted.plant.sink.vase.refrigerator
1479,81549,81575,,person,
1480,81576,81617,,person,
1481,81618,81655,하정우.김동욱,person.chair,chair
1482,81656,81696,,person,
1483,81697,81732,,person.baseball.glove,baseball.glove
1484,81733,81788,,person,
1485,81789,81826,하정우.김동욱,person,
1486,81827,81847,,person,
1487,81848,81897,,person,
1488,81898,81946,,person.tie.cup,tie.cup
1489,81947,82017,,person,
1490,82018,82087,하정우.김동욱,remote.potted.plant.person.keyboard.chair.mouse,remote.potted.plant.keyboard.chair.mouse
1491,82088,82133,,person.cell.phone,cell.phone
1492,82134,82193,,person,
1493,82194,82245,,person.cell.phone,cell.phone
1494,82246,82286,하정우.김동욱,person,
1495,82287,82312,,person,
1496,82313,82345,,person.cell.phone,cell.phone
1497,82346,82383,,person,
1498,82384,82423,,person.cell.phone,cell.phone
1499,82424,82465,,person,
1500,82466,82496,하정우.김동욱,person,
1501,82497,82542,,person.cell.phone,cell.phone
1502,82543,82586,,person,
1503,82587,82625,,person.laptop.cell.phone.tv,laptop.cell.phone.tv
1504,82626,82673,,person.cell.phone,cell.phone
1505,82674,82712,,person.chair.tie,chair.tie
1506,82713,82743,,tv.person.cell.phone,tv.cell.phone
1507,82744,82811,,person.cell.phone,cell.phone
1508,82812,82915,,tv.person.bus,tv.bus
1509,82916,82971,,person.cell.phone,cell.phone
1510,82972,83053,하정우.김동욱,handbag.person.laptop,handbag.laptop
1511,83054,83122,,person.cell.phone.potted.plant,cell.phone.potted.plant
1512,83123,83253,,handbag.person,handbag
1513,83254,83281,,person,
1514,83282,83335,하정우,person,
1515,83336,83372,하정우.김동욱,handbag.person,handbag
1516,83373,83406,,person,
1517,83407,83458,하정우.김동욱,handbag.person.bottle,handbag.bottle
1518,83459,83490,하정우.김동욱,person,
1519,83491,83512,하정우.김동욱,person,
1520,83513,83570,,person.motorcycle.bird.bicycle,motorcycle.bird.bicycle
1521,83571,83613,,person.cell.phone,cell.phone
1522,83614,83657,,person,
1523,83658,83692,,person,
1524,83693,83772,하정우,person.cell.phone,cell.phone
1525,83773,83800,,person.bicycle,bicycle
1526,83801,83901,하정우,person,
1527,83902,84013,,person.chair.potted.plant,chair.potted.plant
1528,84014,84113,하정우,person.chair,chair
1529,84114,84158,김동욱,person.chair.clock,chair.clock
1530,84159,84201,하정우,person.chair,chair
1531,84202,84245,,person.chair.vase,chair.vase
1532,84246,84305,,person.chair.vase,chair.vase
1533,84306,84342,,person.couch,couch
1534,84343,84373,,person,
1535,84374,84485,,person.couch.chair,couch.chair
1536,84486,84512,,person.vase,vase
1537,84513,84536,,person,
1538,84537,84560,,person.chair,chair
1539,84561,84597,,person,
1540,84598,84615,,person.chair,chair
1541,84616,84640,,person,
1542,84641,84677,,person.chair.couch,chair.couch
1543,84678,84706,하정우,person.chair,chair
1544,84707,84738,,person,
1545,84739,84767,김동욱,person,
1546,84768,84803,하정우,person.chair,chair
1547,84804,84832,,person.chair,chair
1548,84833,84876,,person,
1549,84877,84928,김동욱,dining.table.person.book.potted.plant.chair.cake,dining.table.book.potted.plant.chair.cake
1550,84929,84962,하정우,person.chair,chair
1551,84963,84995,김동욱,person,
1552,84996,85063,김동욱,person.chair.potted.plant.dining.table.cake,chair.potted.plant.dining.table.cake
1553,85064,85106,,person,
1554,85107,85138,,person.chair,chair
1555,85139,85177,하정우,person,
1556,85178,85206,,person.chair,chair
1557,85207,85235,,person.chair,chair
1558,85236,85261,김동욱,person.chair,chair
1559,85262,85313,,person.donut.chair,donut.chair
1560,85314,85352,,person.chair,chair
1561,85353,85391,,person,
1562,85392,85441,김동욱,person,
1563,85442,85468,,person,
1564,85469,85521,,person.chair.potted.plant,chair.potted.plant
1565,85522,85622,김동욱,person,
1566,85623,85655,,person.potted.plant,potted.plant
1567,85656,85701,하정우,person,
1568,85702,85777,,person.potted.plant.handbag,potted.plant.handbag
1569,85778,85813,하정우,person.tv,tv
1570,85814,85870,,person.potted.plant,potted.plant
1571,85871,85910,김동욱,person.couch,couch
1572,85911,85986,,person.potted.plant,potted.plant
1573,85987,86018,하정우,person.chair,chair
1574,86019,86068,,person.potted.plant,potted.plant
1575,86069,86108,하정우,person,
1576,86109,86142,김동욱,person.donut,donut
1577,86143,86168,,person.chair,chair
1578,86169,86231,,person.potted.plant.chair,potted.plant.chair
1579,86232,86271,하정우,person.chair,chair
1580,86272,86303,,person.potted.plant,potted.plant
1581,86304,86335,김동욱,person,
1582,86336,86373,,person.chair.potted.plant,chair.potted.plant
1583,86374,86417,하정우,person,
1584,86418,86445,,person.potted.plant.chair,potted.plant.chair
1585,86446,86471,김동욱,person.donut,donut
1586,86472,86495,,person.potted.plant,potted.plant
1587,86496,86522,하정우,person,
1588,86523,86556,김동욱,person.donut,donut
1589,86557,86576,,person.chair,chair
1590,86577,86602,하정우,person,
1591,86603,86652,김동욱,person.donut.umbrella,donut.umbrella
1592,86653,86716,,person.chair.apple.couch,chair.apple.couch
1593,86717,86750,김동욱,person.donut.vase,donut.vase
1594,86751,86798,,person.chair.couch,chair.couch
1595,86799,86855,,person.chair,chair
1596,86856,86906,하정우.김동욱,person.potted.plant.surfboard,potted.plant.surfboard
1597,86907,86930,김동욱,person.potted.plant.chair,potted.plant.chair
1598,86931,86957,하정우.김동욱,person.chair.potted.plant,chair.potted.plant
1599,86958,86997,,person.potted.plant.chair.handbag,potted.plant.chair.handbag
1600,86998,87027,,person.vase,vase
1601,87028,87056,,person,
1602,87057,87093,하정우,person.chair,chair
1603,87094,87116,,person.vase,vase
1604,87117,87151,,person.fork,fork
1605,87152,87178,,person.vase,vase
1606,87179,87211,김동욱,person.chair.tie,chair.tie
1607,87212,87241,,person.vase,vase
1608,87242,87265,,person,
1609,87266,87296,,person.vase,vase
1610,87297,87337,하정우,person.chair,chair
1611,87338,87392,,person,
1612,87393,87515,,person.vase,vase
1613,87516,87553,,fork.bowl.vase.person.oven.potted.plant.bird,fork.bowl.vase.oven.potted.plant.bird
1614,87554,87597,하정우,person,
1615,87598,87636,,person,
1616,87637,87668,,person.potted.plant.bowl.vase.oven,potted.plant.bowl.vase.oven
1617,87669,87726,하정우,person.chair.potted.plant,chair.potted.plant
1618,87727,87760,,person.fork.donut.tie,fork.donut.tie
1619,87761,87825,,person.chair.potted.plant,chair.potted.plant
1620,87826,87857,,person.couch,couch
1621,87858,87935,하정우,person.chair.potted.plant,chair.potted.plant
1622,87936,88027,,person.potted.plant.bowl.vase.microwave.spoon,potted.plant.bowl.vase.microwave.spoon
1623,88028,88061,하정우.김동욱,person.chair.book.potted.plant,chair.book.potted.plant
1624,88062,88120,하정우.김동욱,person.chair.donut,chair.donut
1625,88121,88155,,person,
1626,88156,88183,,person.chair.cup.dining.table,chair.cup.dining.table
1627,88184,88237,하정우,person,
1628,88238,88273,,person.cup.dining.table.bowl,cup.dining.table.bowl
1629,88274,88323,,person,
1630,88324,88378,하정우,person.chair,chair
1631,88379,88416,,person,
1632,88417,88463,하정우,fork.donut.person,fork.donut
1633,88464,88497,하정우,person,
1634,88498,88537,,person.couch.cup,couch.cup
1635,88538,88576,하정우,person,
1636,88577,88663,하정우,person.potted.plant.remote.handbag.fork,potted.plant.remote.handbag.fork
1637,88664,88696,,person,
1638,88697,88742,,person,
1639,88743,88767,,person,
1640,88768,88795,,person,
1641,88796,88868,하정우,person.chair,chair
1642,88869,88957,,person,
1643,88958,89085,하정우,person,
1644,89086,89112,,person.chair.cup.potted.plant,chair.cup.potted.plant
1645,89113,89132,,person.couch,couch
1646,89133,89165,김동욱,person.bowl,bowl
1647,89166,89228,,person.potted.plant.vase,potted.plant.vase
1648,89229,89305,김동욱,person.chair.cup.couch,chair.cup.couch
1649,89306,89353,김동욱,person.chair.remote,chair.remote
1650,89354,89412,,person.chair.cup.couch,chair.cup.couch
1651,89413,89507,성동일,person.vase,vase
1652,89508,89562,김동욱,person,
1653,89563,89663,김동욱,person,
1654,89664,89697,김동욱,person,
1655,89698,89732,성동일,person,
1656,89733,89773,김동욱,person,
1657,89774,89805,김동욱,person,
1658,89806,89832,성동일,person,
1659,89833,89865,김동욱,person,
1660,89866,89888,,person,
1661,89889,89910,성동일,person,
1662,89911,89943,김동욱,person,
1663,89944,89993,성동일,person,
1664,89994,90027,김동욱,person,
1665,90028,90072,김지석,person.umbrella,umbrella
1666,90073,90158,성동일.김동욱,person,
1667,90159,90181,김지석,person.umbrella,umbrella
1668,90182,90203,김지석,person.potted.plant,potted.plant
1669,90204,90271,김지석,person,
1670,90272,90305,성동일.김동욱,person,
1671,90306,90362,김지석,person,
1672,90363,90410,성동일.김동욱,person,
1673,90411,90462,,person,
1674,90463,90497,,person.train.potted.plant,train.potted.plant
1675,90498,90542,,person,
1676,90543,90593,,person,
1677,90594,90657,성동일.김동욱,person.tv,tv
1678,90658,90696,,person,
1679,90697,90766,,person.potted.plant.handbag.suitcase,potted.plant.handbag.suitcase
1680,90767,90865,,person.suitcase.potted.plant.bicycle,suitcase.potted.plant.bicycle
1681,90866,90955,하정우,person.tv,tv
1682,90956,90995,하정우,person.tie,tie
1683,90996,91035,,person,
1684,91036,91068,하정우,tv.person,tv
1685,91069,91148,,person.vase.potted.plant,vase.potted.plant
1686,91149,91215,,person.cell.phone,cell.phone
1687,91216,91270,하정우,person.mouse,mouse
1688,91271,91331,,person.hair.drier,hair.drier
1689,91332,91427,하정우,person.cell.phone,cell.phone
1690,91428,91505,,person.bed.couch,bed.couch
1691,91506,91538,,person.chair.potted.plant.bottle,chair.potted.plant.bottle
1692,91539,91582,,person,
1693,91583,91612,,person.hair.drier,hair.drier
1694,91613,91668,하정우,person,
